DATE,M2SL,M2per
1959-01-01,286.6,0.3
1959-02-01,287.7,0.38
1959-03-01,289.2,0.52
1959-04-01,290.1,0.31
1959-05-01,292.2,0.72
1959-06-01,294.1,0.65
1959-07-01,295.2,0.37
1959-08-01,296.4,0.4
1959-09-01,296.7,0.1
1959-10-01,296.5,-0.07
1959-11-01,297.1,0.2
1959-12-01,297.8,0.24
1960-01-01,298.2,0.13
1960-02-01,298.4,0.07
1960-03-01,299.3,0.3
1960-04-01,300.1,0.27
1960-05-01,300.9,0.27
1960-06-01,302.3,0.46
1960-07-01,304.1,0.59
1960-08-01,306.9,0.91
1960-09-01,308.4,0.49
1960-10-01,309.5,0.36
1960-11-01,310.9,0.45
1960-12-01,312.4,0.48
1961-01-01,314.1,0.54
1961-02-01,316.5,0.76
1961-03-01,318.3,0.57
1961-04-01,319.9,0.5
1961-05-01,322.2,0.71
1961-06-01,324.3,0.65
1961-07-01,325.6,0.4
1961-08-01,327.6,0.61
1961-09-01,329.5,0.58
1961-10-01,331.1,0.48
1961-11-01,333.4,0.69
1961-12-01,335.5,0.63
1962-01-01,337.5,0.59
1962-02-01,340.1,0.76
1962-03-01,343.1,0.87
1962-04-01,345.5,0.69
1962-05-01,347.5,0.58
1962-06-01,349.3,0.52
1962-07-01,350.8,0.43
1962-08-01,352.8,0.57
1962-09-01,354.9,0.59
1962-10-01,357.2,0.64
1962-11-01,359.8,0.72
1962-12-01,362.7,0.8
1963-01-01,365.2,0.68
1963-02-01,367.9,0.73
1963-03-01,370.7,0.76
1963-04-01,373.3,0.7
1963-05-01,376.1,0.74
1963-06-01,378.4,0.61
1963-07-01,381.1,0.71
1963-08-01,383.6,0.65
1963-09-01,386,0.62
1963-10-01,388.3,0.59
1963-11-01,391.5,0.82
1963-12-01,393.2,0.43
1964-01-01,395.2,0.51
1964-02-01,397.6,0.6
1964-03-01,399.8,0.55
1964-04-01,401.7,0.47
1964-05-01,404.2,0.62
1964-06-01,407.1,0.71
1964-07-01,410.1,0.73
1964-08-01,413.4,0.8
1964-09-01,416.9,0.84
1964-10-01,419.1,0.52
1964-11-01,422,0.69
1964-12-01,424.7,0.64
1965-01-01,427.5,0.65
1965-02-01,430.4,0.67
1965-03-01,433.2,0.65
1965-04-01,435.4,0.51
1965-05-01,437.1,0.39
1965-06-01,440.1,0.68
1965-07-01,442.9,0.63
1965-08-01,445.8,0.65
1965-09-01,449.5,0.82
1965-10-01,452.6,0.68
1965-11-01,455.7,0.68
1965-12-01,459.2,0.76
1966-01-01,462,0.61
1966-02-01,464.6,0.56
1966-03-01,467.2,0.56
1966-04-01,469.3,0.45
1966-05-01,470.1,0.17
1966-06-01,471.2,0.23
1966-07-01,470.9,-0.06
1966-08-01,472.6,0.36
1966-09-01,475.4,0.59
1966-10-01,475.7,0.06
1966-11-01,477.3,0.34
1966-12-01,480.2,0.6
1967-01-01,481.6,0.29
1967-02-01,485.1,0.72
1967-03-01,489.7,0.94
1967-04-01,492.1,0.49
1967-05-01,497.2,1.03
1967-06-01,502,0.96
1967-07-01,506.3,0.85
1967-08-01,510.8,0.88
1967-09-01,514.7,0.76
1967-10-01,518.2,0.68
1967-11-01,521.2,0.58
1967-12-01,524.8,0.69
1968-01-01,527.4,0.49
1968-02-01,530.4,0.57
1968-03-01,533.2,0.53
1968-04-01,535.7,0.47
1968-05-01,538.9,0.59
1968-06-01,542.6,0.68
1968-07-01,545.6,0.55
1968-08-01,549.4,0.69
1968-09-01,553.6,0.76
1968-10-01,557.6,0.72
1968-11-01,562.4,0.85
1968-12-01,566.8,0.78
1969-01-01,569.3,0.44
1969-02-01,571.9,0.45
1969-03-01,574.4,0.44
1969-04-01,575.7,0.23
1969-05-01,576.5,0.14
1969-06-01,578.5,0.35
1969-07-01,579.5,0.17
1969-08-01,580.1,0.1
1969-09-01,582.1,0.34
1969-10-01,583.4,0.22
1969-11-01,585.4,0.34
1969-12-01,587.9,0.43
1970-01-01,589.6,0.29
1970-02-01,586.3,-0.56
1970-03-01,587.3,0.17
1970-04-01,588.4,0.19
1970-05-01,591.5,0.52
1970-06-01,595.2,0.62
1970-07-01,599.1,0.65
1970-08-01,604.9,0.96
1970-09-01,611.2,1.03
1970-10-01,616.4,0.84
1970-11-01,621.1,0.76
1970-12-01,626.5,0.86
1971-01-01,632.9,1.01
1971-02-01,641,1.26
1971-03-01,649.9,1.37
1971-04-01,658.4,1.29
1971-05-01,666.7,1.24
1971-06-01,673,0.94
1971-07-01,679.6,0.97
1971-08-01,685.5,0.86
1971-09-01,692.5,1.01
1971-10-01,698.4,0.84
1971-11-01,704.6,0.88
1971-12-01,710.3,0.8
1972-01-01,717.7,1.03
1972-02-01,725.7,1.1
1972-03-01,733.5,1.06
1972-04-01,738.4,0.66
1972-05-01,743.3,0.66
1972-06-01,749.7,0.85
1972-07-01,759.5,1.29
1972-08-01,768.7,1.2
1972-09-01,778.3,1.23
1972-10-01,786.9,1.09
1972-11-01,793.9,0.88
1972-12-01,802.3,1.05
1973-01-01,810.3,0.99
1973-02-01,814.1,0.47
1973-03-01,815.3,0.15
1973-04-01,819.7,0.54
1973-05-01,826.8,0.86
1973-06-01,833.3,0.78
1973-07-01,836.5,0.38
1973-08-01,838.8,0.27
1973-09-01,839.3,0.06
1973-10-01,842.6,0.39
1973-11-01,848.9,0.74
1973-12-01,855.5,0.77
1974-01-01,859.7,0.49
1974-02-01,864.2,0.52
1974-03-01,870.1,0.68
1974-04-01,872.9,0.32
1974-05-01,874.6,0.19
1974-06-01,877.8,0.36
1974-07-01,881.4,0.41
1974-08-01,884.1,0.31
1974-09-01,887.9,0.43
1974-10-01,893.3,0.6
1974-11-01,898.6,0.59
1974-12-01,902.1,0.39
1975-01-01,906.3,0.46
1975-02-01,914.1,0.85
1975-03-01,925,1.18
1975-04-01,935.1,1.08
1975-05-01,947.9,1.35
1975-06-01,963,1.57
1975-07-01,975.1,1.24
1975-08-01,983.1,0.81
1975-09-01,991.5,0.85
1975-10-01,997.8,0.63
1975-11-01,1006.9,0.9
1975-12-01,1016.2,0.92
1976-01-01,1026.6,1.01
1976-02-01,1040.3,1.32
1976-03-01,1050,0.92
1976-04-01,1060.8,1.02
1976-05-01,1072.1,1.05
1976-06-01,1077.6,0.51
1976-07-01,1086.3,0.8
1976-08-01,1098.7,1.13
1976-09-01,1110.8,1.09
1976-10-01,1125,1.26
1976-11-01,1138.2,1.16
1976-12-01,1152,1.2
1977-01-01,1165.2,1.13
1977-02-01,1177.6,1.05
1977-03-01,1188.5,0.92
1977-04-01,1199.6,0.93
1977-05-01,1209,0.78
1977-06-01,1217.8,0.72
1977-07-01,1226.7,0.73
1977-08-01,1237,0.83
1977-09-01,1246.2,0.74
1977-10-01,1254,0.62
1977-11-01,1262.4,0.67
1977-12-01,1270.3,0.62
1978-01-01,1279.7,0.73
1978-02-01,1285.5,0.45
1978-03-01,1292.2,0.52
1978-04-01,1300.4,0.63
1978-05-01,1310.5,0.77
1978-06-01,1318.5,0.61
1978-07-01,1324.1,0.42
1978-08-01,1333.5,0.7
1978-09-01,1345,0.86
1978-10-01,1352.3,0.54
1978-11-01,1359.1,0.5
1978-12-01,1366,0.51
1979-01-01,1371.6,0.41
1979-02-01,1377.8,0.45
1979-03-01,1387.8,0.72
1979-04-01,1402.1,1.02
1979-05-01,1410.2,0.57
1979-06-01,1423,0.9
1979-07-01,1434.8,0.82
1979-08-01,1446.6,0.82
1979-09-01,1454.1,0.52
1979-10-01,1460.4,0.43
1979-11-01,1465.9,0.38
1979-12-01,1473.7,0.53
1980-01-01,1482.7,0.61
1980-02-01,1494.6,0.8
1980-03-01,1499.8,0.35
1980-04-01,1502.2,0.16
1980-05-01,1512.3,0.67
1980-06-01,1529.2,1.11
1980-07-01,1545.5,1.05
1980-08-01,1561.5,1.02
1980-09-01,1574,0.79
1980-10-01,1584.8,0.68
1980-11-01,1595.8,0.69
1980-12-01,1599.8,0.25
1981-01-01,1606.9,0.44
1981-02-01,1618.7,0.73
1981-03-01,1636.6,1.09
1981-04-01,1659.2,1.36
1981-05-01,1664.2,0.3
1981-06-01,1670.3,0.37
1981-07-01,1681.9,0.69
1981-08-01,1694.3,0.73
1981-09-01,1706,0.69
1981-10-01,1721.8,0.92
1981-11-01,1736.1,0.82
1981-12-01,1755.5,1.11
1982-01-01,1770.4,0.84
1982-02-01,1774.5,0.23
1982-03-01,1786.5,0.67
1982-04-01,1803.9,0.96
1982-05-01,1815.4,0.63
1982-06-01,1826,0.58
1982-07-01,1831.5,0.3
1982-08-01,1845.2,0.74
1982-09-01,1858.4,0.71
1982-10-01,1869.7,0.6
1982-11-01,1883.7,0.74
1982-12-01,1905.9,1.16
1983-01-01,1959.4,2.73
1983-02-01,1996.8,1.87
1983-03-01,2015.2,0.91
1983-04-01,2028.6,0.66
1983-05-01,2043.1,0.71
1983-06-01,2053.5,0.51
1983-07-01,2064.8,0.55
1983-08-01,2074,0.44
1983-09-01,2083.2,0.44
1983-10-01,2099.2,0.76
1983-11-01,2112.3,0.62
1983-12-01,2123.5,0.53
1984-01-01,2138.2,0.69
1984-02-01,2158.2,0.93
1984-03-01,2175.2,0.78
1984-04-01,2191.7,0.75
1984-05-01,2204.1,0.56
1984-06-01,2215.1,0.5
1984-07-01,2223.5,0.38
1984-08-01,2230.4,0.31
1984-09-01,2244.4,0.62
1984-10-01,2258.9,0.64
1984-11-01,2281.4,0.99
1984-12-01,2306.4,1.08
1985-01-01,2332.4,1.11
1985-02-01,2354.1,0.92
1985-03-01,2366.2,0.51
1985-04-01,2375.4,0.39
1985-05-01,2389.5,0.59
1985-06-01,2412.6,0.96
1985-07-01,2429.5,0.7
1985-08-01,2444,0.59
1985-09-01,2456.4,0.5
1985-10-01,2468,0.47
1985-11-01,2477.8,0.4
1985-12-01,2492.1,0.57
1986-01-01,2502.1,0.4
1986-02-01,2512.9,0.43
1986-03-01,2533.1,0.8
1986-04-01,2557.8,0.97
1986-05-01,2584.8,1.04
1986-06-01,2605,0.78
1986-07-01,2626.6,0.82
1986-08-01,2646.5,0.75
1986-09-01,2667.8,0.8
1986-10-01,2687.4,0.73
1986-11-01,2701.3,0.51
1986-12-01,2728,0.98
1987-01-01,2743.9,0.58
1987-02-01,2747.5,0.13
1987-03-01,2753.7,0.23
1987-04-01,2767.7,0.51
1987-05-01,2772.9,0.19
1987-06-01,2774.6,0.06
1987-07-01,2779,0.16
1987-08-01,2788.2,0.33
1987-09-01,2799.5,0.4
1987-10-01,2814.8,0.54
1987-11-01,2818.9,0.15
1987-12-01,2826.4,0.27
1988-01-01,2847.4,0.74
1988-02-01,2870.4,0.8
1988-03-01,2890.7,0.7
1988-04-01,2910.7,0.69
1988-05-01,2926,0.52
1988-06-01,2938.4,0.42
1988-07-01,2947.2,0.3
1988-08-01,2952,0.16
1988-09-01,2956.9,0.17
1988-10-01,2965.3,0.28
1988-11-01,2980.2,0.5
1988-12-01,2988.2,0.27
1989-01-01,2991.7,0.12
1989-02-01,2992.2,0.02
1989-03-01,2999.7,0.25
1989-04-01,3006,0.21
1989-05-01,3011.6,0.19
1989-06-01,3027.9,0.54
1989-07-01,3052.4,0.8
1989-08-01,3074.4,0.72
1989-09-01,3092.5,0.59
1989-10-01,3114.1,0.69
1989-11-01,3133.3,0.61
1989-12-01,3152.5,0.61
1990-01-01,3166.8,0.45
1990-02-01,3179.2,0.39
1990-03-01,3190.1,0.34
1990-04-01,3201.6,0.36
1990-05-01,3200.6,-0.03
1990-06-01,3213.7,0.41
1990-07-01,3224.5,0.33
1990-08-01,3242,0.54
1990-09-01,3254.6,0.39
1990-10-01,3259.3,0.14
1990-11-01,3262.6,0.1
1990-12-01,3271.8,0.28
1991-01-01,3287.7,0.48
1991-02-01,3304.5,0.51
1991-03-01,3321.9,0.52
1991-04-01,3332.4,0.32
1991-05-01,3343,0.32
1991-06-01,3351.9,0.27
1991-07-01,3356.1,0.13
1991-08-01,3355,-0.03
1991-09-01,3354.9,0
1991-10-01,3360.1,0.15
1991-11-01,3365.5,0.16
1991-12-01,3372.2,0.2
1992-01-01,3381.2,0.27
1992-02-01,3400,0.55
1992-03-01,3403.9,0.11
1992-04-01,3399.7,-0.12
1992-05-01,3398.6,-0.03
1992-06-01,3393.4,-0.15
1992-07-01,3393.9,0.01
1992-08-01,3398.8,0.14
1992-09-01,3410.3,0.34
1992-10-01,3423.8,0.39
1992-11-01,3426.5,0.08
1992-12-01,3424.7,-0.05
1993-01-01,3419.1,-0.16
1993-02-01,3414.5,-0.13
1993-03-01,3411.7,-0.08
1993-04-01,3411.3,-0.01
1993-05-01,3436.9,0.74
1993-06-01,3442.4,0.16
1993-07-01,3442,-0.01
1993-08-01,3445.7,0.11
1993-09-01,3452.2,0.19
1993-10-01,3456.7,0.13
1993-11-01,3470.1,0.39
1993-12-01,3474.5,0.13
1994-01-01,3474.9,0.01
1994-02-01,3475.7,0.02
1994-03-01,3480.1,0.13
1994-04-01,3481.3,0.03
1994-05-01,3490.8,0.27
1994-06-01,3479.5,-0.32
1994-07-01,3488.2,0.25
1994-08-01,3485.7,-0.07
1994-09-01,3486.1,0.01
1994-10-01,3484.3,-0.05
1994-11-01,3487.2,0.08
1994-12-01,3486.4,-0.02
1995-01-01,3492.4,0.17
1995-02-01,3489.9,-0.07
1995-03-01,3491.1,0.03
1995-04-01,3499.2,0.23
1995-05-01,3524.2,0.71
1995-06-01,3548.9,0.7
1995-07-01,3567.4,0.52
1995-08-01,3589,0.6
1995-09-01,3602.1,0.36
1995-10-01,3613.4,0.31
1995-11-01,3619.9,0.18
1995-12-01,3629.5,0.26
1996-01-01,3647.9,0.5
1996-02-01,3661.8,0.38
1996-03-01,3686.9,0.68
1996-04-01,3697.7,0.29
1996-05-01,3709.6,0.32
1996-06-01,3722.5,0.35
1996-07-01,3737.1,0.39
1996-08-01,3744,0.18
1996-09-01,3753.4,0.25
1996-10-01,3772.8,0.51
1996-11-01,3795.1,0.59
1996-12-01,3818.6,0.62
1997-01-01,3834.6,0.42
1997-02-01,3846.3,0.3
1997-03-01,3861.2,0.39
1997-04-01,3877,0.41
1997-05-01,3889.2,0.31
1997-06-01,3906,0.43
1997-07-01,3923.9,0.46
1997-08-01,3957.4,0.85
1997-09-01,3973.1,0.4
1997-10-01,3992.3,0.48
1997-11-01,4014.8,0.56
1997-12-01,4032.9,0.45
1998-01-01,4056.2,0.57
1998-02-01,4088.9,0.8
1998-03-01,4114.3,0.62
1998-04-01,4140.2,0.63
1998-05-01,4164.4,0.58
1998-06-01,4184.1,0.47
1998-07-01,4203.8,0.47
1998-08-01,4228.7,0.59
1998-09-01,4267.6,0.91
1998-10-01,4307.7,0.93
1998-11-01,4346.4,0.89
1998-12-01,4375.2,0.66
1999-01-01,4402.6,0.62
1999-02-01,4425.3,0.51
1999-03-01,4432.1,0.15
1999-04-01,4460.7,0.64
1999-05-01,4485.3,0.55
1999-06-01,4507.2,0.49
1999-07-01,4534.5,0.6
1999-08-01,4551.7,0.38
1999-09-01,4567.7,0.35
1999-10-01,4591.5,0.52
1999-11-01,4610.5,0.41
1999-12-01,4638,0.59
2000-01-01,4666.2,0.6
2000-02-01,4679.4,0.28
2000-03-01,4710.2,0.65
2000-04-01,4766.1,1.17
2000-05-01,4753.9,-0.26
2000-06-01,4771.8,0.38
2000-07-01,4789.4,0.37
2000-08-01,4817.5,0.58
2000-09-01,4853.2,0.74
2000-10-01,4869.2,0.33
2000-11-01,4880.3,0.23
2000-12-01,4925,0.91
2001-01-01,4975.7,1.02
2001-02-01,5014.1,0.77
2001-03-01,5072,1.14
2001-04-01,5135.9,1.24
2001-05-01,5133,-0.06
2001-06-01,5173.5,0.78
2001-07-01,5203.4,0.57
2001-08-01,5237.2,0.65
2001-09-01,5348.4,2.08
2001-10-01,5337.1,-0.21
2001-11-01,5380.8,0.81
2001-12-01,5433.8,0.98
2002-01-01,5454.1,0.37
2002-02-01,5483.4,0.53
2002-03-01,5495.2,0.21
2002-04-01,5495.4,0
2002-05-01,5521.5,0.47
2002-06-01,5546.5,0.45
2002-07-01,5589.1,0.76
2002-08-01,5631.6,0.75
2002-09-01,5656,0.43
2002-10-01,5700.4,0.78
2002-11-01,5750.6,0.87
2002-12-01,5772,0.37
2003-01-01,5804.6,0.56
2003-02-01,5840.7,0.62
2003-03-01,5861.4,0.35
2003-04-01,5898.8,0.63
2003-05-01,5959.3,1.02
2003-06-01,5996,0.61
2003-07-01,6042.7,0.77
2003-08-01,6100.8,0.95
2003-09-01,6072.8,-0.46
2003-10-01,6063.6,-0.15
2003-11-01,6069.1,0.09
2003-12-01,6067.3,-0.03
2004-01-01,6075.5,0.13
2004-02-01,6114.3,0.63
2004-03-01,6150.1,0.58
2004-04-01,6191.2,0.66
2004-05-01,6268.1,1.23
2004-06-01,6270.5,0.04
2004-07-01,6284.3,0.22
2004-08-01,6310.6,0.42
2004-09-01,6345.3,0.55
2004-10-01,6373.3,0.44
2004-11-01,6399.8,0.41
2004-12-01,6418.3,0.29
2005-01-01,6424.5,0.1
2005-02-01,6432.8,0.13
2005-03-01,6441.9,0.14
2005-04-01,6455.9,0.22
2005-05-01,6473.3,0.27
2005-06-01,6505.8,0.5
2005-07-01,6537.4,0.48
2005-08-01,6570.2,0.5
2005-09-01,6604.3,0.52
2005-10-01,6638.6,0.52
2005-11-01,6655,0.25
2005-12-01,6681.9,0.4
2006-01-01,6724.3,0.63
2006-02-01,6748.6,0.36
2006-03-01,6762.9,0.21
2006-04-01,6800.1,0.55
2006-05-01,6806.9,0.1
2006-06-01,6844.9,0.56
2006-07-01,6886.3,0.6
2006-08-01,6917.1,0.45
2006-09-01,6944.2,0.39
2006-10-01,6993.3,0.7
2006-11-01,7028.4,0.5
2006-12-01,7071.6,0.61
2007-01-01,7109.6,0.53
2007-02-01,7125.3,0.22
2007-03-01,7159.1,0.47
2007-04-01,7231.3,1
2007-05-01,7245.4,0.19
2007-06-01,7278.6,0.46
2007-07-01,7309,0.42
2007-08-01,7385.1,1.03
2007-09-01,7403.2,0.24
2007-10-01,7417.2,0.19
2007-11-01,7441.8,0.33
2007-12-01,7471.6,0.4
2008-01-01,7505.5,0.45
2008-02-01,7590.6,1.12
2008-03-01,7656.2,0.86
2008-04-01,7699.2,0.56
2008-05-01,7711.2,0.16
2008-06-01,7728.9,0.23
2008-07-01,7775.4,0.6
2008-08-01,7790.2,0.19
2008-09-01,7859.5,0.88
2008-10-01,7965.3,1.33
2008-11-01,8015.8,0.63
2008-12-01,8192.1,2.15
2009-01-01,8273.7,0.99
2009-02-01,8303.1,0.35
2009-03-01,8369.3,0.79
2009-04-01,8372.9,0.04
2009-05-01,8430.7,0.69
2009-06-01,8440.5,0.12
2009-07-01,8445.1,0.05
2009-08-01,8445,0
2009-09-01,8444.2,-0.01
2009-10-01,8471.1,0.32
2009-11-01,8500.8,0.35
2009-12-01,8496,-0.06
2010-01-01,8458.1,-0.45
2010-02-01,8507.4,0.58
2010-03-01,8504.5,-0.03
2010-04-01,8535.2,0.36
2010-05-01,8589.9,0.64
2010-06-01,8609,0.22
2010-07-01,8618.8,0.11
2010-08-01,8669.1,0.58
2010-09-01,8700.1,0.36
2010-10-01,8749.4,0.56
2010-11-01,8770,0.23
2010-12-01,8801.8,0.36
2011-01-01,8823.1,0.24
2011-02-01,8886.9,0.72
2011-03-01,8943.5,0.63
2011-04-01,9004.9,0.68
2011-05-01,9075.5,0.78
2011-06-01,9151,0.83
2011-07-01,9316.6,1.78
2011-08-01,9507.6,2.01
2011-09-01,9528.3,0.22
2011-10-01,9562.1,0.35
2011-11-01,9612.6,0.53
2011-12-01,9660.1,0.49
2012-01-01,9733.3,0.75
2012-02-01,9785.7,0.54
2012-03-01,9830.6,0.46
2012-04-01,9884.6,0.55
2012-05-01,9928.4,0.44
2012-06-01,9999.3,0.71
2012-07-01,10051.8,0.52
2012-08-01,10121.3,0.69
2012-09-01,10200.8,0.78
2012-10-01,10267.3,0.65
2012-11-01,10337.6,0.68
2012-12-01,10459.7,1.17
2013-01-01,10479.5,0.19
2013-02-01,10482,0.02
2013-03-01,10550,0.64
2013-04-01,10585.9,0.34
2013-05-01,10628.2,0.4
2013-06-01,10684.9,0.53
2013-07-01,10730.8,0.43
2013-08-01,10790.2,0.55
2013-09-01,10841.3,0.47
2013-10-01,10956.7,1.05
2013-11-01,10969,0.11
2013-12-01,11028.8,0.54
2014-01-01,11078.9,0.45
2014-02-01,11161,0.74
2014-03-01,11200.2,0.35
2014-04-01,11256.9,0.5
2014-05-01,11326.3,0.61
2014-06-01,11380.7,0.48
2014-07-01,11439.9,0.52
2014-08-01,11469.4,0.26
2014-09-01,11502.8,0.29
2014-10-01,11563.4,0.52
2014-11-01,11604.7,0.36
2014-12-01,11681.5,0.66
2015-01-01,11745.2,0.54
2015-02-01,11863.9,1
2015-03-01,11879.6,0.13
2015-04-01,11927.4,0.4
2015-05-01,11960.3,0.28
2015-06-01,12005.8,0.38
2015-07-01,12058.4,0.44
2015-08-01,12109.5,0.42
2015-09-01,12164.5,0.45
2015-10-01,12196.8,0.26
2015-11-01,12286,0.73
2015-12-01,12344,0.47
2016-01-01,12470,1.01
2016-02-01,12545.6,0.6
2016-03-01,12609.7,0.51
2016-04-01,12698.4,0.7
2016-05-01,12765.6,0.53
2016-06-01,12831.9,0.52
2016-07-01,12892,0.47
2016-08-01,12978.2,0.66
2016-09-01,13037.9,0.46
2016-10-01,13105.4,0.52
2016-11-01,13176.5,0.54
2016-12-01,13209.6,0.25
2017-01-01,13282.7,0.55
2017-02-01,13351.4,0.51
2017-03-01,13420.6,0.52
2017-04-01,13482.9,0.46
2017-05-01,13534.8,0.38
2017-06-01,13558.9,0.18
2017-07-01,13621,0.46
2017-08-01,13679.6,0.43
2017-09-01,13722.1,0.31
2017-10-01,13777.4,0.4
2017-11-01,13804.1,0.19
2017-12-01,13852.3,0.35
2018-01-01,13868.2,0.11
2018-02-01,13910.2,0.3
2018-03-01,13965.5,0.4
2018-04-01,13987.7,0.16
2018-05-01,14041.2,0.38
2018-06-01,14102.6,0.44
2018-07-01,14137,0.24
2018-08-01,14187.4,0.36
2018-09-01,14214.6,0.19
2018-10-01,14228.5,0.1
2018-11-01,14241.6,0.09
2018-12-01,14358.8,0.82
2019-01-01,14430.8,0.5
2019-02-01,14472.3,0.29
2019-03-01,14510.7,0.26
2019-04-01,14541,0.21
2019-05-01,14632.5,0.63
2019-06-01,14754.8,0.83
2019-07-01,14833.8,0.53
2019-08-01,14919.8,0.58
2019-09-01,15004.8,0.57
2019-10-01,15144.2,0.92
2019-11-01,15249.9,0.69
2019-12-01,15319.1,0.45
2020-01-01,15401.8,0.54
2020-02-01,15458.7,0.37
2020-03-01,15988.6,3.31
2020-04-01,17002.5,5.96
2020-05-01,17835.2,4.67
2020-06-01,18129.3,1.62
2020-07-01,18277.8,0.81
2020-08-01,18357.4,0.43
2020-09-01,18575.2,1.17
2020-10-01,18735.7,0.86
2020-11-01,18969.8,1.23
2020-12-01,19124.7,0.81
2021-01-01,19372.3,1.28
2021-02-01,19614.9,1.24
2021-03-01,19853.7,1.2
2021-04-01,20110.6,1.28
2021-05-01,20418.7,1.51
2021-06-01,20460.1,0.2
2021-07-01,20615.3,0.75
2021-08-01,20835.5,1.06
2021-09-01,20965.9,0.62
2021-10-01,21144,0.84
2021-11-01,21349.4,0.96
2021-12-01,21490,0.65
2022-01-01,21649.7,0.74
2022-02-01,21708.6,0.27
2022-03-01,21739.7,0.14
2022-04-01,21644.2,-0.44
2022-05-01,21649.2,0.02
2022-06-01,21607.7,-0.19
2022-07-01,21636.2,0.13
2022-08-01,21632.4,-0.02
2022-09-01,21503.4,-0.6
